quiz_id,category,title,level,num_questions,duration_seconds,question_order,question_text,options_json,correct_answer,created_at
49968,Competitive Exams,NEw quiz on different lang,easy,5,600,2,"Quel est le sport national le plus suivi et célébré en Inde, avec des ligues populaires comme l'IPL?","[""Le Cricket"", ""Le Football"", ""Le Kabaddi"", ""Le Hockey sur gazon""]",Le Cricket,2025-12-26T14:58:18.112599+00:00
49968,Competitive Exams,NEw quiz on different lang,easy,5,600,3,Quelle ville indienne est la capitale nationale et le siège du gouvernement central de l'Inde?,"[""New Delhi"", ""Mumbai"", ""Bangalore"", ""Chennai""]",New Delhi,2025-12-26T14:58:18.112599+00:00
49968,Competitive Exams,NEw quiz on different lang,easy,5,600,4,"Comment appelle-t-on le grand festival indien, célébré avec des lampes (diyas) et des feux d'artifice, connu sous le nom de «Festival des Lumières»?","[""Diwali"", ""Holi"", ""Durga Puja"", ""Onam""]",Diwali,2025-12-26T14:58:18.112599+00:00
49968,Competitive Exams,NEw quiz on different lang,easy,5,600,5,Quelle est l'unité monétaire officielle utilisée en Inde?,"[""La Roupie Indienne"", ""Le Dollar"", ""L'Euro"", ""Le Yen""]",La Roupie Indienne,2025-12-26T14:58:18.112599+00:00
15087,Competitive Exams,For UPSC interview,hard,12,360,1,"आप एक जिलाधिकारी हैं। आपके क्षेत्र में एक बड़ी परियोजना के लिए किसानों की जमीन अधिग्रहित होनी है, जिससे वे विस्थापित होंगे। विस्थापितों के कल्याण के लिए आपकी प्राथमिक जिम्मेदारी क्या होगी?","[""\u092c\u093e\u091c\u093e\u0930 \u092e\u0942\u0932\u094d\u092f \u0938\u0947 \u0926\u094b\u0917\u0941\u0928\u093e \u092e\u094c\u0926\u094d\u0930\u093f\u0915 \u092e\u0941\u0906\u0935\u091c\u093e \u0926\u0947\u0928\u093e\u0964"", ""\u092a\u0941\u0928\u0930\u094d\u0935\u093e\u0938 \u0914\u0930 \u0935\u0948\u0915\u0932\u094d\u092a\u093f\u0915 \u0906\u091c\u0940\u0935\u093f\u0915\u093e \u0938\u0941\u0928\u093f\u0936\u094d\u091a\u093f\u0924 \u0915\u0930\u0928\u093e\u0964"", ""\u0935\u093f\u0930\u094b\u0927 \u092a\u094d\u0930\u0926\u0930\u094d\u0936\u0928 \u0915\u0930\u0928\u0947 \u0935\u093e\u0932\u0947 \u0915\u093f\u0938\u093e\u0928\u094b\u0902 \u0915\u094b \u092c\u0932\u092a\u0942\u0930\u094d\u0935\u0915 \u0939\u091f\u093e\u0928\u093e\u0964"", ""\u092a\u0930\u093f\u092f\u094b\u091c\u0928\u093e \u0915\u094b \u0924\u0941\u0930\u0902\u0924 \u0930\u094b\u0915\u0915\u0930 \u0915\u093f\u0938\u093e\u0928\u094b\u0902 \u0915\u093e \u0938\u092e\u0930\u094d\u0925\u0928 \u0915\u0930\u0928\u093e\u0964""]",पुनर्वास और वैकल्पिक आजीविका सुनिश्चित करना।,2025-12-27T15:04:06.480720+00:00
15087,Competitive Exams,For UPSC interview,hard,12,360,2,भारतीय संविधान में 'बुनियादी ढांचा' (Basic Structure Doctrine) सिद्धांत का मुख्य उद्देश्य क्या है?,"[""\u0915\u093e\u0930\u094d\u092f\u092a\u093e\u0932\u093f\u0915\u093e \u0914\u0930 \u0928\u094d\u092f\u093e\u092f\u092a\u093e\u0932\u093f\u0915\u093e \u0915\u0947 \u092c\u0940\u091a \u0938\u092e\u0928\u094d\u0935\u092f \u0938\u094d\u0925\u093e\u092a\u093f\u0924 \u0915\u0930\u0928\u093e\u0964"", ""\u0938\u0902\u0938\u0926 \u0915\u0940 \u0938\u0902\u0935\u093f\u0927\u093e\u0928 \u0938\u0902\u0936\u094b\u0927\u0928 \u0936\u0915\u094d\u0924\u093f \u092a\u0930 \u0938\u0940\u092e\u093e\u090f\u0901 \u0932\u0917\u093e\u0928\u093e\u0964"", ""\u0915\u0947\u0902\u0926\u094d\u0930 \u0914\u0930 \u0930\u093e\u091c\u094d\u092f \u0915\u0947 \u092c\u0940\u091a \u0936\u0915\u094d\u0924\u093f\u092f\u094b\u0902 \u0915\u093e \u0938\u094d\u092a\u0937\u094d\u091f \u0935\u093f\u092d\u093e\u091c\u0928 \u0915\u0930\u0928\u093e\u0964"", ""\u092e\u094c\u0932\u093f\u0915 \u0905\u0927\u093f\u0915\u093e\u0930\u094b\u0902 \u0915\u094b \u0915\u093e\u0928\u0942\u0928\u0940 \u0938\u0941\u0930\u0915\u094d\u0937\u093e \u092a\u094d\u0930\u0926\u093e\u0928 \u0915\u0930\u0928\u093e\u0964""]",संसद की संविधान संशोधन शक्ति पर सीमाएँ लगाना।,2025-12-27T15:04:06.480720+00:00
15087,Competitive Exams,For UPSC interview,hard,12,360,3,'ग्रीन जीडीपी' (Green GDP) की अवधारणा किस बात को मापने के लिए विकसित की गई है?,"[""\u0915\u0947\u0935\u0932 \u0928\u0935\u0940\u0915\u0930\u0923\u0940\u092f \u090a\u0930\u094d\u091c\u093e \u0938\u094d\u0930\u094b\u0924\u094b\u0902 \u0938\u0947 \u0939\u094b\u0928\u0947 \u0935\u093e\u0932\u0940 \u0906\u092f\u0964"", ""\u0915\u0943\u0937\u093f \u0909\u0924\u094d\u092a\u093e\u0926\u094b\u0902 \u0915\u0947 \u0928\u093f\u0930\u094d\u092f\u093e\u0924 \u0938\u0947 \u0939\u094b\u0928\u0947 \u0935\u093e\u0932\u0940 \u0906\u092f\u0964"", ""\u0906\u0930\u094d\u0925\u093f\u0915 \u0935\u0943\u0926\u094d\u0927\u093f \u092e\u0947\u0902 \u092a\u0930\u094d\u092f\u093e\u0935\u0930\u0923\u0940\u092f \u0932\u093e\u0917\u0924\u094b\u0902 \u0915\u094b \u0936\u093e\u092e\u093f\u0932 \u0915\u0930\u0928\u093e\u0964"", ""\u092a\u0930\u094d\u092f\u093e\u0935\u0930\u0923 \u0938\u0902\u0930\u0915\u094d\u0937\u0923 \u092a\u0930 \u0938\u0930\u0915\u093e\u0930\u0940 \u0916\u0930\u094d\u091a \u0915\u0940 \u0930\u093e\u0936\u093f\u0964""]",आर्थिक वृद्धि में पर्यावरणीय लागतों को शामिल करना।,2025-12-27T15:04:06.480720+00:00
15087,Competitive Exams,For UPSC interview,hard,12,360,4,"सूचना का अधिकार (RTI) अधिनियम, 2005, भारत में सुशासन (Good Governance) को कैसे बढ़ावा देता है?","[""\u0938\u0930\u0915\u093e\u0930\u0940 \u0915\u0930\u094d\u092e\u091a\u093e\u0930\u093f\u092f\u094b\u0902 \u0915\u0947 \u0935\u0947\u0924\u0928 \u092e\u0947\u0902 \u0935\u0943\u0926\u094d\u0927\u093f \u0915\u0930\u0915\u0947\u0964"", ""\u0938\u0930\u0915\u093e\u0930\u0940 \u0915\u093e\u092e\u0915\u093e\u091c \u092e\u0947\u0902 \u092a\u093e\u0930\u0926\u0930\u094d\u0936\u093f\u0924\u093e \u0914\u0930 \u091c\u0935\u093e\u092c\u0926\u0947\u0939\u0940 \u092c\u0922\u093c\u093e\u0915\u0930\u0964"", ""\u0935\u093f\u0926\u0947\u0936\u0940 \u0928\u093f\u0935\u0947\u0936 \u0915\u094b \u0906\u0915\u0930\u094d\u0937\u093f\u0924 \u0915\u0930\u0915\u0947\u0964"", ""\u0928\u094d\u092f\u093e\u092f\u093f\u0915 \u092a\u094d\u0930\u0915\u094d\u0930\u093f\u092f\u093e \u092e\u0947\u0902 \u0924\u0947\u091c\u0940 \u0932\u093e\u0915\u0930\u0964""]",सरकारी कामकाज में पारदर्शिता और जवाबदेही बढ़ाकर।,2025-12-27T15:04:06.480720+00:00
15087,Competitive Exams,For UPSC interview,hard,12,360,5,भारत में 'नेट जीरो' उत्सर्जन लक्ष्य प्राप्त करने में सबसे बड़ी नीतिगत बाधा क्या है?,"[""\u0938\u094c\u0930 \u090a\u0930\u094d\u091c\u093e \u0924\u0915\u0928\u0940\u0915 \u0915\u0940 \u0909\u091a\u094d\u091a \u0932\u093e\u0917\u0924\u0964"", ""\u092a\u0930\u092e\u093e\u0923\u0941 \u090a\u0930\u094d\u091c\u093e \u092a\u0930\u093f\u092f\u094b\u091c\u0928\u093e\u0913\u0902 \u0915\u0947 \u0932\u093f\u090f \u0938\u093e\u0930\u094d\u0935\u091c\u0928\u093f\u0915 \u0935\u093f\u0930\u094b\u0927\u0964"", ""\u090a\u0930\u094d\u091c\u093e \u0909\u0924\u094d\u092a\u093e\u0926\u0928 \u0915\u0947 \u0932\u093f\u090f \u0915\u094b\u092f\u0932\u0947 \u092a\u0930 \u0905\u0924\u094d\u092f\u0927\u093f\u0915 \u0928\u093f\u0930\u094d\u092d\u0930\u0924\u093e\u0964"", ""\u0935\u093f\u0926\u0947\u0936\u0940 \u0935\u093f\u0924\u094d\u0924\u092a\u094b\u0937\u0923 \u0924\u0915 \u092a\u0939\u0941\u0902\u091a \u0915\u0940 \u0915\u092e\u0940\u0964""]",ऊर्जा उत्पादन के लिए कोयले पर अत्यधिक निर्भरता।,2025-12-27T15:04:06.480720+00:00
15087,Competitive Exams,For UPSC interview,hard,12,360,6,"यदि कोई व्यक्ति किसी गंभीर वित्तीय घोटाले में शामिल है, लेकिन वह समाज सेवा और दान के माध्यम से अपनी छवि सुधारना चाहता है, तो नैतिक रूप से इसे क्या कहा जाएगा?","[""\u0915\u0930\u094d\u0924\u0935\u094d\u092f \u0915\u093e \u0928\u093f\u0930\u094d\u0935\u093e\u0939\u0964"", ""\u0928\u0948\u0924\u093f\u0915 \u0938\u093e\u092a\u0947\u0915\u094d\u0937\u0935\u093e\u0926\u0964"", ""\u092a\u094d\u0930\u093e\u092f\u0936\u094d\u091a\u093f\u0924 \u0915\u093e \u092a\u094d\u0930\u092f\u093e\u0938\u0964"", ""\u0928\u0948\u0924\u093f\u0915 \u0922\u094b\u0902\u0917 (Moral Hypocrisy)\u0964""]",नैतिक ढोंग (Moral Hypocrisy)।,2025-12-27T15:04:06.480720+00:00
15087,Competitive Exams,For UPSC interview,hard,12,360,7,गुटनिरपेक्ष आंदोलन (NAM) की वर्तमान प्रासंगिकता किस प्रमुख वैश्विक चुनौती पर केंद्रित है?,"[""\u0936\u0940\u0924 \u092f\u0941\u0926\u094d\u0927 \u0915\u0947 \u0924\u0928\u093e\u0935 \u0915\u094b \u0915\u092e \u0915\u0930\u0928\u0947 \u092a\u0930\u0964"", ""\u092c\u0939\u0941\u0927\u094d\u0930\u0941\u0935\u0940\u092f \u0935\u093f\u0936\u094d\u0935 \u0935\u094d\u092f\u0935\u0938\u094d\u0925\u093e \u092e\u0947\u0902 \u0935\u093f\u0915\u093e\u0938\u0936\u0940\u0932 \u0926\u0947\u0936\u094b\u0902 \u0915\u0947 \u0939\u093f\u0924\u094b\u0902 \u0915\u0940 \u0930\u0915\u094d\u0937\u093e \u0915\u0930\u0928\u093e\u0964"", ""\u0905\u0902\u0924\u0930\u094d\u0930\u093e\u0937\u094d\u091f\u094d\u0930\u0940\u092f \u0935\u094d\u092f\u093e\u092a\u093e\u0930 \u0938\u092e\u091d\u094c\u0924\u094b\u0902 \u0915\u094b \u0932\u093e\u0917\u0942 \u0915\u0930\u0928\u0947 \u092a\u0930\u0964"", ""\u0905\u0902\u0924\u0930\u094d\u0930\u093e\u0937\u094d\u091f\u094d\u0930\u0940\u092f \u092e\u0941\u0926\u094d\u0930\u093e \u0915\u094b\u0937 \u092e\u0947\u0902 \u0938\u0941\u0927\u093e\u0930\u094b\u0902 \u092a\u0930\u0964""]",बहुध्रुवीय विश्व व्यवस्था में विकासशील देशों के हितों की रक्षा करना।,2025-12-27T15:04:06.480720+00:00
15087,Competitive Exams,For UPSC interview,hard,12,360,8,सरकारी कल्याणकारी योजनाओं के प्रभावी क्रियान्वयन में 'लीकेज' (भ्रष्टाचार/रिसाव) को रोकने का सबसे सीधा तरीका क्या है?,"[""\u0928\u093f\u0930\u0940\u0915\u094d\u0937\u0915\u094b\u0902 \u0915\u0940 \u0938\u0902\u0916\u094d\u092f\u093e \u092c\u0922\u093c\u093e\u0928\u093e\u0964"", ""\u0932\u093e\u092d\u093e\u0930\u094d\u0925\u093f\u092f\u094b\u0902 \u0915\u0947 \u0916\u093e\u0924\u094b\u0902 \u092e\u0947\u0902 \u0938\u0940\u0927\u0947 \u0932\u093e\u092d \u0939\u0938\u094d\u0924\u093e\u0902\u0924\u0930\u0923 (DBT) \u0938\u0941\u0928\u093f\u0936\u094d\u091a\u093f\u0924 \u0915\u0930\u0928\u093e\u0964"", ""\u092f\u094b\u091c\u0928\u093e\u0913\u0902 \u092a\u0930 \u0938\u093e\u0930\u094d\u0935\u091c\u0928\u093f\u0915 \u092c\u0939\u0938 \u0906\u092f\u094b\u091c\u093f\u0924 \u0915\u0930\u0928\u093e\u0964"", ""\u092f\u094b\u091c\u0928\u093e\u0913\u0902 \u0915\u094b \u0938\u094d\u0925\u093e\u0928\u0940\u092f \u0938\u0930\u0915\u093e\u0930\u094b\u0902 \u0915\u094b \u0938\u094c\u0902\u092a\u0928\u093e\u0964""]",लाभार्थियों के खातों में सीधे लाभ हस्तांतरण (DBT) सुनिश्चित करना।,2025-12-27T15:04:06.480720+00:00
15087,Competitive Exams,For UPSC interview,hard,12,360,9,"यदि एक राज्य सरकार सार्वजनिक स्वास्थ्य आपातकाल घोषित करती है, तो नागरिकों के किस मौलिक अधिकार पर सबसे पहले और सबसे अधिक प्रतिबंध लग सकता है?","[""\u0936\u093f\u0915\u094d\u0937\u093e \u0915\u093e \u0905\u0927\u093f\u0915\u093e\u0930 (\u0905\u0928\u0941\u091a\u094d\u091b\u0947\u0926 21A)\u0964"", ""\u0936\u093e\u0902\u0924\u093f\u092a\u0942\u0930\u094d\u0935\u0915 \u090f\u0915\u0924\u094d\u0930 \u0939\u094b\u0928\u0947 \u0914\u0930 \u0918\u0942\u092e\u0928\u0947 \u0915\u0940 \u0938\u094d\u0935\u0924\u0902\u0924\u094d\u0930\u0924\u093e (\u0905\u0928\u0941\u091a\u094d\u091b\u0947\u0926 19)\u0964"", ""\u091c\u0940\u0935\u0928 \u0915\u093e \u0905\u0927\u093f\u0915\u093e\u0930 (\u0905\u0928\u0941\u091a\u094d\u091b\u0947\u0926 21)\u0964"", ""\u0936\u094b\u0937\u0923 \u0915\u0947 \u0935\u093f\u0930\u0941\u0926\u094d\u0927 \u0905\u0927\u093f\u0915\u093e\u0930 (\u0905\u0928\u0941\u091a\u094d\u091b\u0947\u0926 23)\u0964""]",शांतिपूर्वक एकत्र होने और घूमने की स्वतंत्रता (अनुच्छेद 19)।,2025-12-27T15:04:06.480720+00:00
15087,Competitive Exams,For UPSC interview,hard,12,360,10,भारत में 'अर्बन हीट आइलैंड' (Urban Heat Island) प्रभाव को कम करने के लिए सबसे प्रभावी दीर्घकालिक उपाय क्या है?,"[""\u0935\u093e\u0939\u0928\u094b\u0902 \u092a\u0930 \u0915\u093e\u0930\u094d\u092c\u0928 \u091f\u0948\u0915\u094d\u0938 \u0932\u0917\u093e\u0928\u093e\u0964"", ""\u090a\u0901\u091a\u0940 \u0907\u092e\u093e\u0930\u0924\u094b\u0902 \u0915\u0947 \u0928\u093f\u0930\u094d\u092e\u093e\u0923 \u092a\u0930 \u092a\u094d\u0930\u0924\u093f\u092c\u0902\u0927 \u0932\u0917\u093e\u0928\u093e\u0964"", ""\u091b\u0924\u094b\u0902 \u092a\u0930 \u0939\u0930\u0947 \u0906\u0935\u0930\u0923 (\u0917\u094d\u0930\u0940\u0928 \u0930\u0942\u092b) \u0914\u0930 \u0920\u0902\u0921\u0947 \u092b\u0941\u091f\u092a\u093e\u0925\u094b\u0902 \u0915\u093e \u0928\u093f\u0930\u094d\u092e\u093e\u0923\u0964"", ""\u091c\u0928\u0938\u0902\u0916\u094d\u092f\u093e \u0935\u0943\u0926\u094d\u0927\u093f \u0915\u094b \u0928\u093f\u092f\u0902\u0924\u094d\u0930\u093f\u0924 \u0915\u0930\u0928\u093e\u0964""]",छतों पर हरे आवरण (ग्रीन रूफ) और ठंडे फुटपाथों का निर्माण।,2025-12-27T15:04:06.480720+00:00
15087,Competitive Exams,For UPSC interview,hard,12,360,11,महात्मा गांधी के 'ट्रस्टीशिप' (न्यासधारिता) सिद्धांत का मूल दार्शनिक आधार क्या था?,"[""\u092a\u0942\u0902\u091c\u0940\u092a\u0924\u093f\u092f\u094b\u0902 \u0915\u094b \u0905\u092a\u0928\u0940 \u0938\u0902\u092a\u0924\u094d\u0924\u093f \u0930\u093e\u091c\u094d\u092f \u0915\u094b \u0938\u094c\u0902\u092a\u0928\u0947 \u0915\u0947 \u0932\u093f\u090f \u092e\u091c\u092c\u0942\u0930 \u0915\u0930\u0928\u093e\u0964"", ""\u092a\u0942\u0902\u091c\u0940\u092a\u0924\u093f\u092f\u094b\u0902 \u0915\u094b \u0938\u092e\u093e\u091c \u0915\u0947 \u0932\u093f\u090f \u0927\u0928 \u0915\u093e \u0938\u0902\u0930\u0915\u094d\u0937\u0915 (\u091f\u094d\u0930\u0938\u094d\u091f\u0940) \u092e\u093e\u0928\u0928\u093e\u0964"", ""\u0938\u092d\u0940 \u0928\u093f\u091c\u0940 \u0938\u0902\u092a\u0924\u094d\u0924\u093f \u0915\u094b \u0930\u093e\u0937\u094d\u091f\u094d\u0930\u0940\u092f\u0915\u0943\u0924 \u0915\u0930\u0928\u093e\u0964"", ""\u0936\u094d\u0930\u092e\u093f\u0915\u094b\u0902 \u0915\u094b \u0909\u0926\u094d\u092f\u094b\u0917\u094b\u0902 \u0915\u093e \u092a\u0942\u0930\u094d\u0923 \u0938\u094d\u0935\u093e\u092e\u0940 \u092c\u0928\u093e\u0928\u093e\u0964""]",पूंजीपतियों को समाज के लिए धन का संरक्षक (ट्रस्टी) मानना।,2025-12-27T15:04:06.480720+00:00
15087,Competitive Exams,For UPSC interview,hard,12,360,12,1930 के दशक में भारत में 'पूर्ण स्वराज' की मांग का सबसे महत्वपूर्ण निहितार्थ क्या था?,"[""\u0905\u0902\u0917\u094d\u0930\u0947\u091c\u094b\u0902 \u0938\u0947 \u0935\u093f\u0924\u094d\u0924\u0940\u092f \u0938\u0939\u093e\u092f\u0924\u093e \u092a\u094d\u0930\u093e\u092a\u094d\u0924 \u0915\u0930\u0928\u093e\u0964"", ""\u092c\u094d\u0930\u093f\u091f\u093f\u0936 \u0921\u094b\u092e\u093f\u0928\u093f\u092f\u0928 \u0938\u094d\u091f\u0947\u091f\u0938 \u0938\u094d\u0935\u0940\u0915\u093e\u0930 \u0915\u0930\u0928\u093e\u0964"", ""\u0915\u0947\u0935\u0932 \u0938\u0902\u0935\u0948\u0927\u093e\u0928\u093f\u0915 \u0938\u0941\u0927\u093e\u0930\u094b\u0902 \u0915\u0940 \u092e\u093e\u0902\u0917 \u0915\u0930\u0928\u093e\u0964"", ""\u092c\u094d\u0930\u093f\u091f\u093f\u0936 \u0936\u093e\u0938\u0928 \u0938\u0947 \u092a\u0942\u0930\u094d\u0923 \u0930\u093e\u091c\u0928\u0940\u0924\u093f\u0915 \u0914\u0930 \u0906\u0930\u094d\u0925\u093f\u0915 \u0938\u094d\u0935\u0924\u0902\u0924\u094d\u0930\u0924\u093e \u0915\u0940 \u092e\u093e\u0902\u0917\u0964""]",ब्रिटिश शासन से पूर्ण राजनीतिक और आर्थिक स्वतंत्रता की मांग।,2025-12-27T15:04:06.480720+00:00
71012,Logical & Aptitude Reasoning,Practice Aptitude,medium,6,420,1,"श्रृंखला को पूरा करें: 4, 9, 16, 25, 36, ?","[""47"", ""49"", ""50"", ""52""]",49,2025-12-27T17:41:03.633263+00:00
71012,Logical & Aptitude Reasoning,Practice Aptitude,medium,6,420,2,"यदि किसी कोड भाषा में 'RAM' को '18113' लिखा जाता है, तो 'SHYAM' को क्या लिखा जाएगा?","[""19825113"", ""19825114"", ""18825113"", ""19925113""]",19825113,2025-12-27T17:41:03.633263+00:00
71012,Logical & Aptitude Reasoning,Practice Aptitude,medium,6,420,3,"एक व्यक्ति पूर्व की ओर 5 किलोमीटर चलता है। फिर वह दाएँ मुड़ता है और 4 किलोमीटर चलता है। अंत में, वह बाएँ मुड़ता है और 3 किलोमीटर चलता है। अब वह किस दिशा की ओर मुंह किए हुए है?","[""\u0909\u0924\u094d\u0924\u0930"", ""\u092a\u0936\u094d\u091a\u093f\u092e"", ""\u092a\u0942\u0930\u094d\u0935"", ""\u0926\u0915\u094d\u0937\u093f\u0923""]",पूर्व,2025-12-27T17:41:03.633263+00:00
71012,Logical & Aptitude Reasoning,Practice Aptitude,medium,6,420,4,इनमें से विषम शब्द चुनें:,"[""\u0926\u093f\u0935\u093e\u0932\u0940"", ""\u0939\u094b\u0932\u0940"", ""\u0930\u0915\u094d\u0937\u093e\u092c\u0902\u0927\u0928"", ""\u0915\u094d\u0930\u093f\u0938\u092e\u0938""]",क्रिसमस,2025-12-27T17:41:03.633263+00:00
71012,Logical & Aptitude Reasoning,Practice Aptitude,medium,6,420,5,क्रिकेट : स्टेडियम :: हॉकी : ?,"[""\u0915\u094b\u0930\u094d\u091f"", ""\u092a\u093f\u091a"", ""\u092b\u0940\u0932\u094d\u0921"", ""\u0930\u093f\u0902\u0917""]",फील्ड,2025-12-27T17:41:03.633263+00:00
71012,Logical & Aptitude Reasoning,Practice Aptitude,medium,6,420,6,"यदि A, B का पिता है, और C, B का पुत्र है, तो A का C से क्या संबंध है?","[""\u091a\u093e\u091a\u093e"", ""\u092a\u0941\u0924\u094d\u0930"", ""\u092d\u093e\u0908"", ""\u0926\u093e\u0926\u093e""]",दादा,2025-12-27T17:41:03.633263+00:00
60948,Logical & Aptitude Reasoning,Aptitude practice Quiz,medium,4,300,1,"Welche Zahl setzt die folgende Reihe logisch fort: 8, 15, 29, 57, X?","[""111"", ""113"", ""115"", ""117""]",113,2025-12-27T17:51:58.467358+00:00
60948,Logical & Aptitude Reasoning,Aptitude practice Quiz,medium,4,300,2,"Wenn das Wort 'DELHI' als 'E F M I J' codiert wird, wie würde dann das Wort 'MUMBAI' codiert werden?","[""N V L A B I"", ""M V N B J I"", ""N V N C B J"", ""L T L A H Z""]",N V N C B J,2025-12-27T17:51:58.467358+00:00
60948,Logical & Aptitude Reasoning,Aptitude practice Quiz,medium,4,300,3,Ramesh geht 10 Meter nach Norden. Dann biegt er rechts ab und geht 5 Meter. Anschließend biegt er links ab und geht 5 Meter. Schließlich biegt er links ab und geht 5 Meter. Wie weit und in welcher Richtung ist er von seinem Ausgangspunkt entfernt?,"[""15 Meter nach Norden"", ""10 Meter nach Osten"", ""5 Meter nach Westen"", ""20 Meter nach Nordosten""]",15 Meter nach Norden,2025-12-27T17:51:58.467358+00:00
60948,Logical & Aptitude Reasoning,Aptitude practice Quiz,medium,4,300,4,In einer Reihe von Cricket-Spielern ist Rohit größer als Virat. Dhoni ist größer als Rohit. Sachin ist kleiner als Virat. Wer ist der Größte von allen?,"[""Virat"", ""Rohit"", ""Sachin"", ""Dhoni""]",Dhoni,2025-12-27T17:51:58.467358+00:00
84198,Logical & Aptitude Reasoning,Aptitude 12,medium,5,480,1,"Find the next number in the sequence: 2, 6, 12, 20, ?","[""28"", ""30"", ""32"", ""36""]",30,2025-12-30T14:56:41.345100+00:00
84198,Logical & Aptitude Reasoning,Aptitude 12,medium,5,480,2,"If 'PUNE' is coded as 'Q V O F' in a certain language, how would 'MUMBAI' be coded using the same pattern?","[""N V N C B J"", ""O W O D C K"", ""N V O C A I"", ""N M N C B J""]",N V N C B J,2025-12-30T14:56:41.345100+00:00
84198,Logical & Aptitude Reasoning,Aptitude 12,medium,5,480,3,"A tourist starts at the Red Fort, walks 10 meters North, turns left and walks 5 meters. Then he turns left again and walks 10 meters. How far and in which direction is he from the starting point?","[""25 meters North"", ""10 meters East"", ""5 meters West"", ""5 meters East""]",5 meters West,2025-12-30T14:56:41.345100+00:00
84198,Logical & Aptitude Reasoning,Aptitude 12,medium,5,480,4,"Pointing to a photograph of a boy, Suresh said, 'He is the only son of my father's mother's only daughter-in-law.' How is Suresh related to the boy?","[""Brother"", ""Cousin"", ""Father"", ""Himself""]",Himself,2025-12-30T14:56:41.345100+00:00
84198,Logical & Aptitude Reasoning,Aptitude 12,medium,5,480,5,Choose the word that is least like the other words in the group:,"[""Ranji Trophy"", ""IPL"", ""Test Match"", ""Vijay Hazare Trophy""]",IPL,2025-12-30T14:56:41.345100+00:00
50793,Technology & Computing,C++ basics,medium,5,360,1,A C++ program uses a pointer `p` to store the address of the number of seats booked for a Diwali flight to Mumbai. Which operator is used to access the actual number of booked seats stored at that address?,"[""&"", ""^"", ""->"", ""*""]",*,2026-01-02T14:20:31.358084+00:00
